TeamA,TeamB,PaseA,PaseB,AlphaA,AlphaB,Year,Round,A_win
Texas,Abilene Christian,-4.6,0.7,0,0,2021,1,0
UCLA,Akron,5.1,-1.1,0,0,2022,1,1
Maryland,Alabama,-0.3,-2.9,0,0,2021,2,0
UCLA,Alabama,5.1,-2.9,0,0,2021,3,1
UCLA,Abilene Christian,5.1,0.7,0,0,2021,2,1
TCU,Arizona State,-0.7,-1.9,0,0,2023,1,1
Baylor,Arkansas,-0.3,3.5,0,0,2021,4,1
Gonzaga,Arkansas,3.8,3.5,0,0,2022,3,0
Kansas,Arkansas,-1.8,3.5,0,0,2023,2,0
New Mexico State,Arkansas,-2,3.5,0,0,2022,2,0
Texas Tech,Arkansas,3.7,3.5,0,0,2021,2,0
Houston,Auburn,2.1,1.4,0,0,2023,2,1
Iowa,Auburn,-2.6,1.4,0,0,2023,1,0
Miami (FL),Auburn,3.4,1.4,0,0,2022,2,1
Creighton,Baylor,0.9,-0.3,0,0,2023,2,1
Northwestern,Boise State,0.4,-1.5,0,0,2023,1,1
Duke,Cal State Fullerton,0,-0.4,0,0,2022,1,1
Illinois,Chattanooga,-4.1,-0.8,0,0,2022,1,1
Houston,Cleveland State,2.1,0.6,0,0,2021,1,1
Arkansas,Colgate,3.5,-0.5,0,0,2021,1,1
Texas,Colgate,-4.6,-0.5,0,0,2023,1,1
Wisconsin,Colgate,4,-0.5,0,0,2022,1,1
San Diego State,College of Charleston,0.2,-0.8,0,0,2023,1,1
Gonzaga,Creighton,3.8,0.9,0,0,2021,3,1
Kansas ,Creighton,-1.8,0.9,0,0,2022,2,1
San Diego State,Creighton,0.2,0.9,0,0,2023,4,1
San Diego State,Creighton,0.2,0.9,0,0,2022,1,0
Michigan State,Davidson,9.2,0.3,0,0,2022,1,1
Villanova,Delaware,4,-0.4,0,0,2022,1,1
Miami (FL),Drake,3.4,-2.3,0,0,2023,1,1
Southern California,Drake,-0.6,-2.3,0,0,2021,1,1
Illinois,Drexel,-4.1,0,0,0,2021,1,1
Arkansas,Duke,3.5,0,0,0,2022,4,0
Michigan State,Duke,9.2,0,0,0,2022,2,0
Texas Tech,Duke,3.7,0,0,0,2022,3,0
Kansas,Eastern Washington,-1.8,-0.4,0,0,2021,1,1
Purdue,FDU,-4.4,1,0,0,2023,1,0
