Team,PASE,Alpha
Akron,-1.1,0
Alabama,-2.9,0
Arizona,-2.5,0
Auburn,1.4,0
Baylor,-0.3,0
BYU,-3,0
Clemson,-3.5,0
Colgate,-0.5,0
College of Charleston,-0.8,0
Colorado,-1.9,0
Colorado State,-1.4,0
Creighton,0.9,0
Dayton,1.3,0
Drake,-2.3,0
Duke,0,0
Duquesne,0,0
Florida,5.9,0
Florida Atlantic,3.4,0
Gonzaga,3.8,0
Grambling,0,0
Grand Canyon,-0.3,0
Houston,2.1,0
Illinois,-4.1,0
Iowa State,-1.5,0
James Madison,0,0
Kansas,-1.8,0
Kentucky,8.5,0
Long Beach State,-0.5,0
Longwood,-0.2,0
Marquette,-2.2,0
McNeese State,0,0
Michigan State,9.2,0
Mississippi State,-1.1,0
Morehead State,0.6,0
NC State,0.2,0
Nebraska,-0.6,0
Nevada,-0.3,0
New Mexico,-3.8,0
Northwestern,0.4,0
Oakland,-0.4,0
Oregon,5.7,0
Purdue,-4.4,0
Saint Mary's,-1.6,0
Samford,0,0
San Diego State,0.2,0
South Carolina,3.1,0
South Dakota State,-1.7,0
St. Peter's,2.7,0
Stetson,0,0
TCU,-0.7,0
Tennessee,-1,0
Texas,-4.6,0
Texas A&M,1,0
Texas Tech,3.7,0
UAB,0.3,0
UConn,10.6,0
UNC,9.8,0
Utah State,-3.6,0
Vermont,-0.9,0
Wagner,0,0
Washington State,-0.1,0
Western Kentucky,2,0
Wisconsin,4,0
Yale,0.2,0
